	Hh_v_GF_CD11b-CD103-	Hh_v_GF_CD11b-CD103+	Hh_v_GF_CD11b+CD103-	Hh_v_GF_CD11b+CD103+	Hh_v_GF_Monocyte	Hh_v_GF_Macrophage	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage	SFB_v_GF_CCR6-ILC3	SFB_v_GF_CCR6+ILC3	SFB_v_GF_SCA+CCR6+ILC3	DKO_v_JAX_3day_CCR6-ILC3	DKO_v_JAX_3day_CCR6+ILC3	DKO_v_JAX_eday_SCA+CCR6+ILC3
Olfr508	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  0.034518	  0.035576	  0.039562	  0.036268	  0.037698	   0.13549	  -0.11266	 0.0031966	  0.093204	0.00056977	    1.1575	0.00023366
Plin1	0.00013568	  -0.13892	0.00010296	3.5491e-05	 -0.032175	 -0.077503	 -0.012985	 -0.013151	 -0.012625	   0.17327	 -0.012837	 -0.013117	  -0.26056	0.00076818	   0.02214	0.00013428	    1.2511	5.4418e-05
Alb	 0.00038645	  0.0011238	 0.00049299	 0.00010042	-0.00050744	     0.1831	   0.039461	   0.039826	   0.042893	    0.18195	   0.040934	   0.038575	   -0.29165	  0.0019878	    0.11023	 0.00035081	     1.1835	   0.000143
Cthrc1	 -0.032347	 0.0002154	 -0.022059	3.6637e-05	  0.050416	 -0.055676	  0.076742	  0.077006	  0.077145	   0.14775	  0.076986	   0.14281	  -0.49615	 0.0031344	 0.0015029	 0.0005584	    1.0525	0.00022892
Vmn2r101	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  -0.19766	  0.054713	  0.055771	  0.059757	  0.056463	  0.057893	  0.051795	  -0.34129	 0.0029342	   0.16123	0.00052186	    1.0539	0.00021372
Csn1s2a	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	  -0.15576	  0.004614	   0.13625	0.00083263	   0.93886	0.00034408
Olfr857	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	  -0.23126	 0.0066163	   0.20077	 0.0012169	   0.99437	0.00050904
Olfr453	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	  -0.30552	  0.002588	   0.20476	0.00045896	    0.8873	0.00018763
Oosp3	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	  -0.29281	 0.0046458	   0.13723	   0.12736	   0.94347	0.00034662
Hoxd4	0.00021149	  0.050006	  0.050669	6.9315e-05	   0.12664	0.00042801	  0.073168	  0.028608	  0.029531	  0.029079	  0.029079	  0.029433	  -0.23923	 0.0025839	   0.31579	0.00045821	    1.0123	0.00018732
Trim50	 0.00011462	 0.00021907	 8.7289e-05	    0.14771	-6.4178e-05	   0.098644	  0.0044268	  0.0044939	  0.0047332	   0.004252	  0.0046094	   0.004065	   -0.32903	  0.0028147	     0.2833	 0.00050011	    0.88533	  -0.062299
Gm20319	0.00065632	 0.0031189	 0.0016338	  -0.17314	  -0.13993	0.00070945	  0.036026	  0.036851	   0.04089	  0.034947	  0.034974	   0.13738	  -0.20758	 0.0059747	   0.17948	  0.001092	   0.91913	   0.14587
Drd5	   0.045962	 0.00047163	   -0.28998	 8.5209e-05	-0.00013812	    0.13115	    0.11356	    0.11385	    0.11335	    0.11395	     0.1141	    0.11337	   -0.34016	  0.0017229	   0.049814	 0.00030341	     1.0626	    -0.1404
Gm14496	 0.0026261	    0.2687	 -0.099433	0.00061152	-0.0012639	  0.004474	  0.086934	  0.081107	  0.089149	  0.088684	  0.090114	  0.089673	   -0.3687	 0.0041589	 0.0020107	0.00074746	    1.1462	 0.0003081
Cabs1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	 -0.096593	  0.034518	  0.035576	  0.039562	  0.036268	  0.037698	  0.034428	  -0.42128	 0.0017521	0.00083123	0.00030863	    1.0224	    0.1479
Notum	   0.030139	  -0.092765	 0.00010851	  4.559e-05	-7.9883e-05	   -0.20526	   0.037358	    0.03732	   0.037795	   0.037392	   0.037642	   0.036986	   -0.55441	  0.0022408	   0.001067	 0.00039626	     0.9232	   0.099216
Gm2516	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	  -0.39683	  0.010469	  0.005407	 0.0020179	   0.83096	0.00087084
Nphs1os	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	  -0.50836	 0.0081221	 0.0040751	 0.0015183	   0.84883	0.00064182
Olfr1308	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	  -0.50836	 0.0081221	 0.0040751	 0.0015183	   0.84883	0.00064182
Pcdha1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	  -0.49605	 0.0025628	 0.0012233	0.00045439	   0.92296	0.00018574
Pou3f3os	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	  -0.44327	 0.0039598	 0.0019113	0.00071044	   0.98546	  0.093003
Zscan4e	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	  -0.33899	 0.0092737	 0.0047145	 0.0017578	   0.96006	0.00075003
Mir466f-3	  -0.11174	  0.049044	 -0.042573	 0.0046329	  0.072369	  0.047686	   0.01178	  0.012048	  0.012343	  0.050057	   0.01217	  0.012203	  -0.39683	  0.010469	  0.005407	 0.0020179	   0.83096	0.00087084
Olfr667	        0	        0	        0	        0	        0	        0	        0	        0	        0	        0	        0	        0	 -0.37607	0.0060224	0.0029593	0.0011012	  0.79946	  0.27174
Fgf4	 0.0026261	 0.0043122	 0.0016338	0.00061152	   0.17761	  0.004474	 -0.094054	 -0.092996	  -0.08901	   -0.0977	 -0.095958	 -0.091315	  -0.58293	 0.0044874	 0.0021755	0.00080886	    0.9204	0.00033402
Olfr1047	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	 -0.061217	 -0.060159	 -0.056173	 -0.062336	 -0.058037	 -0.058478	  -0.59881	 0.0027319	 0.0013058	0.00048506	   0.96262	0.00019844
Gm16701	0.00011094	0.00021215	  0.026124	3.6621e-05	   0.18515	  0.046163	 -0.021832	 -0.021767	  -0.02187	  -0.02182	  -0.02198	 -0.021835	  -0.53363	 0.0034265	   0.10008	0.00061193	   0.82755	  0.079792
Lect2	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	   -0.6719	 0.0021072	  0.061033	0.00037224	   0.84882	0.00015182
Olfr360	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	   -0.6661	 0.0045068	 0.0021853	 0.0008125	   0.83655	0.00033556
Olfr583	 0.0026261	 0.0043122	 0.0016338	  -0.10046	-0.0012639	  0.004474	  0.034518	  0.035576	  0.039562	  0.033439	  0.037698	  0.037256	  -0.65335	 0.0011633	0.00054946	0.00020396	   0.92922	  0.026288
Obp2a	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	 -0.096593	 -0.041021	 -0.039963	 -0.035977	  -0.04214	 -0.037841	 -0.041111	   -0.7015	 0.0067061	 0.0033166	 0.0012346	   0.71795	0.00051673
Olfr639	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  -0.19766	  0.054713	  0.055771	  0.059757	  0.056463	  0.057893	  0.051795	  -0.74573	  0.004048	 0.0019553	0.00072681	   0.77273	0.00029941
Olfr8	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	 -0.096593	  0.034518	  0.035576	  0.039562	  0.036268	  0.037698	  0.034428	  -0.58144	 0.0091911	 0.0046678	 0.0017404	   0.72207	0.00074204
Pou3f2	 0.0026261	 0.0043122	 0.0016338	0.00061152	  0.099803	  0.004474	  0.034518	  0.035576	  0.039562	  0.036268	  0.034869	  0.037256	  -0.81114	 0.0022481	 0.0010673	 -0.085917	   0.93093	 -0.039519
Gm5800	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	 -0.061217	 -0.060159	 -0.056173	 -0.062336	 -0.058037	 -0.058478	  -0.49577	  0.012039	 0.0063913	 0.0023889	   0.60459	 0.0010522
Krtap4-6	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	 -0.061217	 -0.060159	 -0.056173	 -0.062336	 -0.058037	 -0.058478	  -0.49577	  0.012039	 0.0063913	 0.0023889	   0.60459	 0.0010522
Olfr1233	        0	        0	        0	        0	        0	        0	        0	        0	        0	        0	        0	        0	 -0.49577	 0.012039	0.0063913	0.0023889	  0.60459	0.0010522
Tex13	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	 -0.061217	 -0.060159	 -0.056173	 -0.062336	 -0.058037	 -0.058478	  -0.62877	 0.0010896	0.00051428	0.00019089	   0.59729	  -0.10781
Olfr771	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  -0.13676	   -0.1357	  -0.13171	  -0.14074	  -0.13358	  -0.13402	  -0.72273	0.00091497	0.00043135	 0.0001601	   0.71397	   0.11334
Gm10922	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	  -0.42961	 0.0049228	   0.26801	0.00089084	   0.79269	0.00036879
Vmn1r225	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	  -0.49655	 0.0079421	   0.24738	 0.0014816	   0.62564	0.00062547
Mb	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	 -0.096593	  0.034518	  0.035576	  0.039562	  0.036268	  0.037698	  0.034428	  -0.58823	 0.0038632	   0.37732	0.00069252	     0.561	  0.000285
Gm11570	        0	        0	        0	        0	        0	        0	        0	        0	        0	        0	        0	        0	 -0.30812	0.0041923	  0.15533	  0.22678	  0.60479	-0.081705
Fam46d	0.00022391	0.00042197	   -0.1788	7.6846e-05	  -0.12028	 -0.036405	  0.027764	  0.027892	  0.027751	  0.027979	  0.027393	  0.027679	  -0.61711	  -0.13475	   0.29914	 0.0016731	   0.96501	  -0.12689
Gm6213	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	   -0.2395	 -0.013722	 -0.012664	-0.0086776	  -0.01484	 -0.010542	 -0.017859	  -0.39726	 0.0016305	0.00077284	   0.22853	   0.89744	  0.072242
Spata4	  0.0005547	  0.0009926	 0.00038633	 0.00016192	-0.00029051	   -0.45297	   0.096834	   0.097125	   0.098135	   0.097323	   0.097631	   0.094678	   -0.33899	  0.0092737	  0.0047145	  0.0017578	    0.96006	 0.00075003
Bcmo1	  0.046465	0.00042897	0.00016554	   0.29985	  -0.13097	   -0.0576	    0.1475	 -0.068509	 -0.068127	 -0.069328	 -0.069121	 -0.068712	  -0.56055	0.00042872	 0.0002014	7.4733e-05	    1.0488	 -0.034061
H1fnt	0.00025375	0.00047629	0.00018853	8.5985e-05	  -0.53922	0.00048302	   0.11325	    0.1134	   0.11391	   0.11349	   0.11214	   0.11359	  -0.42582	 0.0030854	 0.0014788	  0.083092	    1.0418	0.00022519
Trim63	0.00046695	0.00084685	0.00033099	0.00013189	  -0.38576	0.00086433	 0.0050388	 0.0052892	 0.0061636	 0.0048609	 0.0035878	 0.0056331	  -0.33899	 0.0092737	 0.0047145	 0.0017578	   0.96006	0.00075003
Hrnr	   -0.1737	 0.0043122	 0.0016338	0.00061152	  -0.20338	  0.004474	  0.083868	  0.089802	  0.093788	  0.090494	  0.086155	  0.091483	  -0.48356	 0.0012375	0.00058487	0.00021711	   0.94628	   0.10593
Lipi	 0.0026261	 0.0043122	 0.0016338	0.00061152	  -0.29688	  0.004474	  0.072407	  0.073465	  0.077451	  0.074157	  0.067226	  0.075146	  -0.44062	 0.0070672	   0.21618	 0.0013059	   0.75105	0.00054791
Spata20	   0.016836	   -0.29739	 9.1679e-05	   0.093907	-6.7423e-05	 0.00023267	    0.19919	   0.096672	   0.097342	   0.096947	   0.097212	   0.097187	   -0.45529	 0.00071111	    0.34428	   0.018236	    0.85737	 5.0327e-05
Kcnh7	   0.13537	   0.14629	   0.32317	  0.067209	-0.0012718	 -0.044623	   0.18284	  0.074374	  -0.14809	  -0.15877	  0.050595	    0.1663	  -0.49845	0.00069869	0.00032881	  -0.11758	   0.88342	4.9426e-05
Ace3	  -0.10243	 0.0004112	0.00016305	 7.501e-05	  0.066716	 0.0003985	  -0.18313	  -0.18273	  -0.18228	  -0.18264	  -0.15382	  -0.18267	 -0.015797	 0.0028823	 0.0013793	 0.0005124	   0.99689	   0.37776
Tsga13	  -0.067382	  0.0045067	 0.00013207	  -0.076306	-0.00010624	 0.00036732	   -0.16969	   -0.14106	   -0.16923	   -0.13372	   -0.16922	   -0.16926	  -0.001029	  0.0021789	   0.063133	 0.00038514	    0.97871	    0.53688
Frrs1l	 9.6458e-05	 0.00029197	 0.00010551	 4.3376e-05	-8.5523e-05	 0.00029539	   -0.15321	   -0.26356	   -0.19303	   -0.26384	   -0.26341	   -0.26344	 -0.0010265	  0.0021724	   -0.18294	 0.00038241	    0.92687	    0.30645
Alx1	 0.00024597	 0.00062054	 0.00024456	 9.6967e-05	-0.00018168	   -0.10607	    0.01407	   -0.14419	   -0.14327	   -0.14458	   -0.14387	   -0.14463	 -0.0012191	  0.0025809	    0.15332	 0.00045533	    0.82581	    0.53362
Usp26	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  -0.17313	 -0.093806	 -0.092749	 -0.088762	 -0.097465	 -0.090626	 -0.096084	   0.12712	 0.0054495	   0.24226	 0.0009824	   0.82732	   0.44801
Gm10782	0.00011664	0.00022288	8.8796e-05	4.0314e-05	 -0.082446	 -0.082306	  -0.14843	  -0.14836	  -0.14812	  -0.12144	 -0.077842	  -0.10826	   0.20433	 0.0068695	 0.0034027	 0.0012668	   0.88916	   0.31327
Prss54	 0.00078681	  0.0033925	  0.0016338	 0.00061152	-0.00016938	   -0.19368	    -0.1734	   -0.17242	   -0.16842	   -0.17171	   -0.17493	   -0.17457	      0.351	  0.0046184	  0.0022415	 0.00083346	    0.85177	    0.29195
Tprg	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  -0.13676	   -0.1357	  -0.13171	  -0.14074	  -0.13358	  -0.13402	   0.41396	 0.0029771	 0.0014257	0.00052966	   0.74852	    0.3886
Gm20757	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  -0.19534	  -0.19428	   -0.1903	  -0.20155	  -0.19216	   -0.1926	   0.23922	 0.0038874	  0.089865	0.00069252	   0.67433	   0.13622
Mug-ps1	 0.0020658	 0.0043122	 0.0016338	0.00074876	-0.0012639	  0.019528	  -0.13293	  -0.13189	  -0.12787	  -0.13752	  -0.12976	  -0.13555	   0.37549	 0.0020291	   0.19758	0.00035583	   0.43742	   0.19022
Akr1cl	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	 -0.096593	  -0.16034	  -0.15929	   -0.1553	  -0.16597	  -0.15716	  -0.16046	-0.0032041	 0.0068227	   0.20778	   0.30393	   0.54321	0.00052675
Gm7714	   -0.17138	  0.0006174	 0.00024336	 7.3833e-05	-0.00018076	 0.00062739	   -0.23981	   -0.23895	   -0.23809	   -0.24018	   -0.23863	   -0.23869	 -0.0056958	   0.012285	  0.0065602	    0.44266	      0.627	  0.0010851
Amy2a5	 0.0026261	 0.0043036	 0.0016338	0.00061152	-0.0012639	 -0.096593	  -0.16304	  -0.16673	    -0.158	  -0.16129	  -0.16259	  -0.16316	 -0.012849	  0.028011	  0.015206	 0.0058824	   0.73802	 0.0012717
Pramel4	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0010754	 -0.096728	  -0.17163	  -0.17058	  -0.16659	  -0.17274	  -0.17339	  -0.17176	 -0.012849	  0.028011	  0.015206	 0.0058824	   0.73802	 0.0012717
Dmrtb1	0.00038598	   0.00111	0.00047904	0.00084717	   -0.0613	   -0.1216	   -0.2126	  -0.21225	   -0.2092	  -0.21262	   -0.2133	  -0.21299	 -0.012849	  0.028011	  0.015206	 0.0058824	   0.73802	 0.0012717
Mir8111	 0.00031458	   -0.12035	 0.00023018	 0.00010358	-0.00018316	  -0.050472	   -0.17747	   -0.17755	   -0.17669	   -0.17718	    -0.1767	   -0.11636	  -0.012849	   0.028011	   0.015206	  0.0058824	    0.73802	  0.0012717
Mir3085	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  -0.13676	   -0.1357	  -0.13171	  -0.14074	  -0.13358	  -0.13402	 -0.012849	  0.028011	  0.015206	 0.0058824	   0.73802	 0.0012717
Olfr1271	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  -0.13676	   -0.1357	  -0.13171	  -0.14074	  -0.13358	  -0.13402	 -0.012849	  0.028011	  0.015206	 0.0058824	   0.73802	 0.0012717
Olfr248	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  -0.13676	   -0.1357	  -0.13171	  -0.14074	  -0.13358	  -0.13402	 -0.012849	  0.028011	  0.015206	 0.0058824	   0.73802	 0.0012717
Vmn2r15	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  -0.13676	   -0.1357	  -0.13171	  -0.14074	  -0.13358	  -0.13402	 -0.012849	  0.028011	  0.015206	 0.0058824	   0.73802	 0.0012717
Spatc1l	 0.0026261	 -0.096754	 0.0016338	0.00061152	-0.0012639	  0.004474	   -0.1077	  -0.10947	  -0.10265	  -0.10595	  -0.10452	  -0.11036	 -0.012849	  0.028011	  0.015206	 0.0058824	   0.73802	 0.0012717
Ecel1	  -0.022802	 0.00020921	  -0.042051	 3.6911e-05	-6.7531e-05	 0.00021298	   -0.19235	   -0.18865	   -0.21199	   -0.18753	    -0.2118	   -0.21194	-0.00034117	 0.00072143	   0.040688	  -0.017371	    0.72938	 5.1076e-05
Olfr895	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  -0.19534	  -0.19428	   -0.1903	  -0.20155	  -0.19216	   -0.1926	 -0.012849	  0.028011	  0.015206	 0.0058824	   0.73802	 0.0012717
Vmn2r123	  0.0026261	  0.0043122	  0.0016338	 0.00061152	-0.00083487	   0.004474	   -0.24337	   -0.24231	   -0.23832	   -0.24449	   -0.24711	   -0.24063	  -0.012849	   0.028011	   0.015206	  0.0058824	    0.73802	  0.0012717
Pla2g2a	 0.0011026	 0.0043122	 0.0016338	 0.0002818	-0.0012639	  0.004474	  -0.12807	   -0.2212	  -0.21719	  -0.22704	  -0.21909	  -0.21951	 -0.004356	  0.009315	 0.0047379	 0.0017666	   0.63594	0.00075405
C87414	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  -0.17313	 -0.093806	 -0.092749	 -0.088762	 -0.097465	 -0.090626	 -0.096084	 -0.049525	 0.0017328	0.00082026	 -0.034668	   0.59768	  0.032511
Ptprtos	 0.0015882	 0.0043122	 0.0016338	 0.0010942	-0.0012639	  -0.21184	  -0.12412	  -0.12305	  -0.11904	  -0.12772	  -0.12093	  -0.12701	 -0.012849	  0.028011	  0.015206	 0.0058824	   0.73802	 0.0012717
Car10	  -0.067062	 0.00062971	   0.001363	 0.00051699	-0.00075381	   -0.13501	   -0.18528	   -0.18551	   -0.18051	    -0.1853	   -0.18247	   -0.18515	  -0.000577	    0.17186	   0.099557	  0.0002133	    0.58081	   -0.01397
Pik3c2g	 0.00012597	   0.081487	 9.5748e-05	 3.1251e-05	  -0.019429	  -0.022991	   -0.12286	   -0.12293	   -0.12253	   -0.10254	   0.059741	   -0.12273	-0.00072074	  0.0015252	   0.044062	   0.040561	    0.72148	 0.00010907
Ugt2b5	 0.00015894	  -0.029447	    0.27138	 5.6036e-05	-7.0023e-05	 0.00026927	   -0.14334	   -0.14332	   -0.14354	   -0.14319	   -0.14347	   -0.14334	  -0.012849	   0.028011	   0.015206	  0.0058824	    0.73802	  0.0012717
Syt4	 0.00017581	    0.24498	 0.00013248	  6.156e-05	-7.6002e-05	 0.00028277	   -0.16221	   -0.16262	   -0.16174	   -0.16203	   -0.16238	     -0.128	 -0.0003216	 0.00068001	   -0.13591	 0.00011879	    0.70818	  4.812e-05
Arl14epl	  -0.091997	 0.00049869	 0.00015021	 8.5211e-05	-0.00014603	    0.10035	   -0.23278	   -0.23232	   -0.23262	   -0.23239	   -0.23206	   -0.23276	   0.083068	  0.0015009	  0.0007107	 0.00026385	    0.92926	  0.0001073
Pcsk1n	   -0.11012	   0.035566	   0.070236	 5.8131e-05	-6.3912e-05	   0.037291	   -0.19073	   -0.19058	   -0.19025	   -0.19034	   -0.19081	   -0.19036	 -0.0023374	  0.0049648	  -0.047599	 0.00089878	    0.89832	 0.00037217
Klk1b7-ps	0.00059615	 0.0010581	0.00041064	0.00016953	 -0.088083	  0.001084	  -0.25625	  -0.25594	  -0.25487	  -0.25573	  -0.25845	  -0.25551	-0.0057455	  0.012399	 0.0066409	 0.0024833	    1.0531	 0.0011011
Mirlet7j	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	   -0.2053	  -0.20424	  -0.20573	  -0.20642	  -0.20212	  -0.20256	-0.0057455	  0.012399	 0.0066409	 0.0024833	    1.0531	 0.0011011
Scgb2b19	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  -0.20301	  -0.20195	  -0.19796	  -0.20412	  -0.20521	  -0.20027	-0.0057455	  0.012399	 0.0066409	 0.0024833	    1.0531	 0.0011011
Pebp4	    0.12905	 0.00079839	 0.00027233	 0.00087581	-0.00017877	 0.00070537	   -0.16141	   -0.21365	   -0.21104	   -0.21352	    -0.2139	   -0.21288	 -0.0057455	   0.012399	  0.0066409	  0.0024833	     1.0531	  0.0011011
Gm10578	  0.0018218	  0.0036573	  0.0016338	 0.00094674	-0.00075992	   0.004474	   -0.12811	  -0.028556	   -0.12304	   -0.13219	  -0.026777	   -0.12536	 -0.0026151	  0.0055589	  0.0027201	  0.0010119	    0.86973	    0.10907
Prl8a9	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  -0.13676	   -0.1357	  -0.13171	  -0.14074	  -0.13358	  -0.13402	-0.0057455	  0.012399	 0.0066409	 0.0024833	    1.0531	 0.0011011
Slc22a16	 0.0026261	 -0.096754	 0.0016338	0.00061152	-0.0012639	  0.004474	  -0.16049	   -0.1623	  -0.15545	  -0.16611	  -0.15731	  -0.15775	 -0.002156	 0.0045774	 0.0022208	0.00082575	   0.94139	0.00034117
Vmn2r63	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  -0.13676	   -0.1357	  -0.13171	  -0.14074	  -0.13358	  -0.13402	-0.0012373	 0.0026211	 0.0012517	0.00046496	   0.90623	  0.060326
Hsd3b6	 0.0020916	 0.0043122	   -0.1837	 0.0007269	-0.0012639	  0.004474	  -0.13404	    -0.133	  -0.13429	  -0.13868	  -0.13087	  -0.13131	-0.0011082	  0.002347	 0.0011184	  -0.12156	   0.94904	0.00016962
Gsc	  -0.26354	0.00064729	0.00025477	8.6981e-05	-0.0001895	0.00065806	  -0.14383	   -0.1426	  -0.14118	  -0.14356	  -0.14226	  -0.14233	 -0.012849	  0.028011	  0.015206	 0.0058824	   0.73802	 0.0012717
Slc1a6	   -0.31663	 0.00053546	  0.0002116	 7.4811e-05	-0.00015679	 0.00054347	   -0.10425	    -0.1031	   -0.10253	   -0.10377	   -0.10282	   -0.10288	    0.04069	  0.0010856	   0.091311	  0.0001899	    0.48867	 7.6991e-05
Defb5	 0.00058462	  0.0010414	 0.00040468	   0.000168	-0.00020496	  0.0010662	   -0.34846	   -0.34816	   -0.34711	   -0.34795	   -0.35065	   -0.34774	  -0.012849	   0.028011	   0.015206	  0.0058824	    0.73802	  0.0012717
Olfr963	 0.00063813	  0.0011219	 0.00043399	 0.00013709	-0.00032831	  0.0011514	   -0.33112	   -0.33079	   -0.32967	   -0.33365	   -0.33023	   -0.33035	  -0.012849	   0.028011	   0.015206	  0.0058824	    0.73802	  0.0012717
Vmn1r75	 0.00063813	  0.0011219	 0.00043399	 0.00013709	-0.00032831	  0.0011514	   -0.33112	   -0.33079	   -0.32967	   -0.33365	   -0.33023	   -0.33035	  -0.012849	   0.028011	   0.015206	  0.0058824	    0.73802	  0.0012717
Vmn1r210	  0.0003007	 0.00043845	 0.00023955	 8.8349e-05	-0.00017784	 0.00061717	   -0.27238	   -0.34309	   -0.34137	   -0.34267	   -0.34172	   -0.34178	  -0.012849	   0.028011	   0.015206	  0.0058824	    0.73802	  0.0012717
Gm16336	  0.0001706	  0.0065479	 0.00018618	 9.2367e-05	-0.00016573	   0.000573	   -0.26247	    -0.2931	   -0.26051	   -0.31109	   -0.35037	   -0.35043	  -0.012849	   0.028011	   0.015206	  0.0058824	    0.73802	  0.0012717
Isx	 0.00023132	 0.00047835	 0.00018015	      0.261	   -0.10915	  -0.090283	   -0.29333	     -0.293	   -0.29265	   -0.29388	   -0.29386	   -0.18384	-0.00052666	  0.0011141	 0.00052604	 0.00019526	    0.59881	 7.9258e-05
Cpne4	   0.040344	   0.070302	   0.020542	 3.8194e-05	-5.9449e-05	  -0.019368	   -0.20893	   -0.20879	   -0.20858	   -0.20853	   -0.20846	   -0.20852	-0.00078198	  0.0016543	   -0.36452	   -0.43411	    0.91789	 0.00011784
Fabp12	   0.037914	 0.00044772	 0.00017736	  -0.044791	-0.00013111	   0.016533	   -0.18203	   -0.18148	     -0.181	    -0.1821	   -0.18125	   -0.18183	 -0.0012862	  0.0027228	   -0.20648	   -0.30773	     1.0108	     0.2262
Oosp2	 0.00029367	 0.00054819	 0.00021656	 5.5331e-05	-0.00016051	  -0.053944	   -0.22343	   -0.22326	   -0.22268	  -0.083898	   -0.22298	   -0.22326	 -0.0035938	  0.0076625	  0.0038258	   -0.37274	    0.80593	    0.19525
Hcrtr2	   0.001242	  0.0039913	  0.0016338	 0.00010813	 -0.0010011	   -0.20056	   -0.15865	   -0.15752	   -0.15352	   -0.16101	   -0.15543	   -0.16055	-0.00095923	  0.0020309	  0.0009655	   -0.36289	     1.1726	   0.046376
Olfr710	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  -0.19534	  -0.19428	   -0.1903	  -0.20155	  -0.19216	   -0.1926	-0.0016008	  0.003394	 0.0016307	  -0.35386	    1.1079	 -0.075869
Tinag	 7.6037e-05	  -0.069824	 7.8226e-05	   -0.14158	-5.7484e-05	  -0.034754	   -0.18977	   -0.18956	   -0.18924	   -0.17176	   -0.18936	   -0.18951	  -0.055058	  0.0015983	  0.0007574	   -0.29533	     1.2093	   0.036303
Olfr695	0.00039365	0.00072199	0.00028339	0.00012287	  -0.11164	0.00069049	  -0.28592	  -0.28571	  -0.28496	  -0.28556	  -0.28737	  -0.28575	-0.0012171	 0.0025783	 0.0012309	  -0.40495	    1.1596	0.00018691
Gm6607	 0.00028724	 0.00045764	  -0.060137	   0.065412	-0.00016739	  -0.058082	   -0.12927	  -0.026147	   -0.12881	   -0.12925	   -0.12859	   -0.12891	 -0.0011636	   0.091416	   -0.25096	   -0.16912	      1.058	  0.0001784
Mir301b	     0.2245	   0.053401	    0.30615	  0.0001725	-0.00028374	  -0.039651	   -0.11994	  -0.071675	   -0.12052	  -0.060769	   -0.11805	   -0.11906	-0.00060424	  0.0012783	   -0.35973	   -0.27799	    0.90201	    0.12943
Stxbp2	 0.012751	 -0.17722	  0.11675	 0.064658	 -0.14648	 0.027881	 -0.35634	 0.048469	 -0.10668	0.0039554	-0.095618	 -0.13099	 -0.18715	-0.038987	 0.013518	 0.033969	  0.97746	  0.21326
