	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage
Cited1	 0.4354	 1.2555	0.30486	0.31951	0.40439	 0.3462
Fitm1	0.52626	 1.1734	0.34041	0.38428	0.54904	0.38131
Ttc26	0.68275	 1.0513	 0.3145	0.20844	0.44435	0.31174
Slc2a9	0.88796	 1.1329	 0.5879	0.49433	0.19736	0.32794
Spats1	0.78356	 1.1857	0.52153	0.36378	0.40177	0.30322
Gm15816	0.32577	 1.4051	0.31146	0.48959	0.33155	0.78015
Gper1	0.37625	 1.3013	0.40463	 0.3947	0.53506	0.86868
Plxna2	0.43532	 1.4964	0.55142	0.44346	0.50261	0.71088
Tlr5	0.43231	 1.4468	0.61506	 0.7255	  0.404	0.61327
Sgsm1	0.74037	 1.7113	0.24745	0.48647	0.17459	0.71765
Ar	 0.73817	  1.3115	 0.74219	0.078367	 0.21325	 0.83899
Mr1	0.52302	 1.7279	0.76617	0.12848	0.11616	 0.9746
Tnfrsf8	 0.47101	  1.5582	  1.0039	 0.44396	-0.31923	 0.86681
Zfp940	 0.33171	   1.444	 0.67695	 0.30094	-0.58122	 0.81901
Aig1	0.19503	 1.1808	 1.0809	0.96684	0.77612	0.74027
Mir6353	 0.4873	0.82428	0.89246	 1.2341	0.79293	0.59627
Tmem54	0.62947	 1.1116	0.93874	 1.1013	0.74458	0.72003
Chrna9	0.61774	 1.0527	 1.3671	 1.5525	0.74878	0.72185
Rgma	0.65749	0.89324	  1.099	 1.3858	0.88254	0.98315
Akr1b8	 0.6357	  1.431	0.56113	0.84629	0.85066	0.91109
Fah	0.30372	 1.3356	0.70448	  0.667	0.70665	0.94689
Jph1	0.62255	 1.0771	0.65802	0.71284	0.62987	0.78186
Tspan7	0.73679	 1.0524	0.74383	0.78179	0.73224	0.88531
Specc1l	0.57369	 1.0337	0.73027	 0.8264	0.86668	0.85261
Pear1	 0.6854	 1.1217	0.83194	0.52031	0.78631	0.91408
Mir143hg	0.62952	 1.4324	0.64558	 0.6293	0.61535	 1.0361
Prox1	0.73144	 1.1513	0.62681	0.62795	0.62018	 1.0307
Arl9	0.67333	 1.4407	 1.0964	0.79593	0.70784	0.35387
Entpd1	0.70111	 1.2425	0.89172	0.75337	0.62869	 0.5071
Pde9a	0.63091	 1.3784	0.98971	0.67193	0.80498	0.67533
Ngp	0.64491	 1.4785	0.72562	0.66077	0.64349	0.64511
Aox1	0.78607	 1.1332	 1.0413	0.75286	 1.0984	0.74591
Il11	0.88704	 1.0703	0.82861	 0.8859	 1.0694	0.72955
Kcnab1	0.90607	 1.1752	0.79477	0.73184	0.80753	0.79732
Rhbdl3	0.96672	 1.4008	0.82529	0.87835	0.92727	0.65678
Arid4b	0.92502	0.99735	 1.2515	0.66168	 0.8768	0.69473
Gm15446	0.94593	 1.1292	 1.1656	0.69766	0.93361	0.72523
C77080	 1.0801	0.89157	0.96129	0.61703	0.79932	0.60892
Trpv4	0.99076	  1.087	 1.1806	0.62519	 1.2577	0.43202
Cyp3a13	0.55164	 1.3012	 1.0678	0.60544	0.25313	 1.0882
Scn1b	0.58921	 1.0187	 1.1301	0.36074	0.43614	 1.0374
Magi1	0.32535	 1.3123	 1.6018	 0.7213	0.64528	0.90728
Stmn1-rs1	0.40496	 1.3761	 1.3499	0.45584	0.69562	0.91166
Snord4a	0.11297	 1.3091	 1.4206	0.20917	0.54572	 0.7677
Cd59a	 1.1658	 1.2838	0.35367	0.37126	0.38199	0.99673
Col9a2	 1.3904	 1.3393	0.56466	0.80608	0.57315	0.95117
Wnk4	 1.3642	  1.337	0.39448	 1.0635	0.68636	 1.0155
Fgf18	 1.2185	 1.2806	 0.7495	0.67266	0.54975	0.73214
Slc23a3	 1.1776	 1.6397	0.30196	0.92103	 0.3698	0.88267
Fam24a	 1.0884	 1.8549	0.64663	0.67087	0.62212	 1.2371
Sim2	0.85523	 1.7043	0.84376	0.83329	0.98688	 0.9297
Ston2	0.85202	 1.5954	0.88934	0.73112	0.71685	0.94015
Mirlet7d	0.79982	 1.4422	 0.1672	 1.0912	0.70861	 1.2143
Sptb	0.97067	 1.5314	0.55865	0.90535	0.78335	  1.195
Tmem74b	 0.5718	 1.6618	0.55755	0.90702	 0.8011	 1.3324
Col4a5	 1.0075	 1.3605	0.87681	0.40305	0.27984	0.33239
Retnla	 1.1792	 1.2172	 1.0399	 0.3083	0.35725	0.43303
Tll2	 0.9236	 1.5288	 1.2441	0.43167	0.50528	0.55326
Cpne8	 1.2488	 1.6728	  1.038	0.44588	0.20572	0.73381
Aldoc	0.42417	0.26371	0.19565	0.26467	 1.0818	0.86313
Wscd2	0.48642	0.19236	0.16812	0.19155	 1.0249	 1.0124
Ms4a8a	 0.34861	0.042981	 0.20547	0.020344	  1.0417	 0.83897
Scaper	0.47793	0.34344	0.45525	0.13698	 1.2101	0.78186
Sds	 0.41818	 0.49262	 0.30708	-0.04137	   1.012	 0.74318
Gm19589	 0.66435	  0.2089	0.090116	 0.11783	  1.5128	 0.75474
Klrb1a	0.39072	0.19245	 0.2166	 0.2494	 1.5629	 1.0323
Crb2	  0.7158	 0.23625	0.046082	 0.49025	  1.1363	 0.95254
Lox	0.37755	0.13629	0.24561	0.64849	0.93834	  1.259
Txndc5	0.37659	0.32995	0.26358	0.62916	 1.0793	 1.0865
Tmem52b	0.37635	0.25235	0.42049	0.51233	  1.144	0.86591
Comp	0.73106	0.11564	0.40547	0.20125	0.87613	 1.0414
Itga8	0.80972	0.45404	0.25745	0.14971	0.79581	 1.0148
Mir5098	0.62844	0.20914	0.16911	0.20779	0.58063	 1.1931
Zfp958	0.74652	0.28549	0.31259	0.42719	0.67496	 1.1538
Fam174b	 0.67467	0.010707	-0.04104	 0.31005	 0.72505	  1.0507
Grhl2	   0.64836	 -0.043133	-0.0079336	    0.3368	   0.69379	    1.3334
Rs1	  0.39742	 0.037698	-0.098736	  0.42872	  0.52413	   1.0262
Cyfip2	0.11884	0.23979	 0.1802	 0.2742	0.63139	 1.2897
Gfra1	0.22752	0.21112	0.23069	 0.2354	0.77691	 1.2714
Rab11fip1	0.26588	0.15493	0.38167	0.28164	0.66007	 1.1153
Tmem236	0.0073342	 0.068808	-0.046549	  0.39494	  0.87269	   1.0566
Igfbp5	   -0.2981	   0.41227	-0.0030577	   0.37611	   0.93232	    1.2521
Mospd4	-0.06456	 0.50887	 0.15441	   0.316	 0.91512	  1.0053
Sema7a	0.19722	 0.4863	0.15559	0.40737	0.76193	 1.0809
Zbtb3	0.039858	 0.54627	0.038376	 0.66213	 0.83868	  1.0141
Bicd1	 0.61039	 0.39962	-0.47533	  0.2766	 0.96511	  1.7129
Bnipl	  0.31192	  0.57809	-0.036808	  0.15032	   1.0576	   1.5492
Cd200	  0.60013	  0.59839	   0.1039	-0.076188	    1.131	   1.2876
Kit	0.074407	 0.25318	 0.12141	 0.19753	  1.3226	  1.5225
Map9	 0.55163	 0.18762	0.086387	 0.59911	  1.3945	  1.5553
Slfnl1	 0.27167	0.091852	0.020378	 0.60789	  1.1695	   1.436
Amot	0.016946	 -0.1658	 0.46738	 0.25888	  1.2125	   1.141
Rasgrp3	-0.0028209	 -0.090587	   0.24205	   0.19649	     1.112	    1.2304
Wnt11	0.019554	0.090174	 0.45701	 0.26612	  1.1097	 0.98351
Sept1	 0.19034	0.033434	 0.67537	 0.05682	 0.81658	   1.082
Stxbp6	 0.25136	-0.30536	 0.80807	 0.25526	  1.0302	  1.1388
Hlf	 0.50189	-0.32676	 0.38221	0.035917	  1.0108	  1.1372
Ntng2	  0.57514	-0.070476	  0.59113	    0.343	   1.2397	   1.3081
Ccl22	 0.58374	-0.11134	 0.49557	 0.27211	 0.73933	  1.3331
Ccr7	 0.50767	-0.27796	  0.6397	 0.32369	  0.7675	  1.3534
Setbp1	  0.68787	-0.020466	  0.57563	  0.44971	  0.73549	   1.5168
Mir1192	  0.70762	-0.072298	  0.73785	  0.47017	  0.66635	   1.1479
Plscr1	   0.6492	-0.076256	  0.73225	  0.40056	  0.60841	   1.0196
St8sia6	 0.55719	-0.19076	 0.68806	 0.39427	 0.61565	  1.0364
Pde4d	 0.91051	0.020352	 0.99362	 0.35137	 0.80183	  1.0899
Klri2	 0.61037	-0.16118	 0.91755	 0.45504	 0.61201	  1.6674
Atp2b4	 0.55708	-0.15745	   1.038	 0.80712	  1.2945	  1.5143
Sgip1	  0.81701	-0.032242	  0.95911	  0.92298	   1.2381	    1.186
Gm20257	   0.45655	0.00040647	   0.91021	   0.61847	    1.0818	    1.1086
Il1f9	  0.24172	-0.041865	  0.75135	  0.71924	   1.0124	  0.95278
Kcnn4	  0.30073	-0.067428	  0.86356	  0.87188	    1.005	  0.99387
Grap2	 0.31184	-0.33121	 0.70564	 0.62247	  1.0576	  1.8391
Pglyrp1	 0.25028	-0.35588	 0.47189	 0.38565	  1.0359	  1.7845
Ankrd33b	 1.0978	0.29779	0.86522	0.57943	 1.3208	  1.401
Inhba	 1.4296	0.39687	0.97674	0.64469	 1.3759	  1.321
Il6	 1.3995	0.25134	0.64325	0.76189	 1.3207	 1.3732
Pcdh17	  1.0011	0.027083	  0.6427	 0.38757	  1.3756	  1.5695
Tmem95	 1.1478	 0.2252	0.50909	0.24548	 1.2716	 1.6031
Prrg4	   1.044	0.068825	 0.55159	 0.40538	  1.0428	  1.4583
Tha1	   1.1164	-0.082165	  0.26625	  0.24789	   1.2232	   1.3767
Col20a1	  1.2983	 0.38422	  0.7305	0.062304	  1.1786	  1.2596
Dscaml1	   1.5234	   0.2938	    0.255	-0.018719	   1.0775	   1.1848
Rhou	   1.1887	-0.080128	  0.50217	 -0.23998	   1.2941	   1.3236
Mir6979	0.84814	0.41249	0.55573	0.47727	 1.5235	 1.5728
Sult2b1	0.85978	0.40417	0.30803	0.60544	 1.3076	 1.4975
Rnf125	 1.1079	 0.4257	0.59231	0.71731	 1.2954	 1.5852
Ugt1a1	0.99422	0.58603	0.60791	 0.9698	 1.3519	 1.5971
Pde3a	0.69341	 0.6399	0.71277	0.94163	 1.4538	 1.6058
Vtn	0.55031	0.73673	0.54418	0.81191	  1.281	 1.3837
Pde6b	 0.5928	0.50997	0.55949	0.91825	 1.1983	 2.1178
Aanat	0.59124	0.87364	 1.2037	0.35339	 1.0518	0.93451
Magi2	0.33843	0.94849	 1.2345	0.06612	0.96743	0.86387
Mcc	0.45401	0.69216	 1.2964	0.19724	 1.0111	0.62448
Mir7-1	0.30833	0.96162	 1.4674	0.48085	 1.1104	0.78193
Gucy1a2	0.64513	0.62494	 1.3968	0.49231	 1.1596	0.66726
Magee1	0.63009	 0.6728	 1.1879	0.40727	 1.1681	0.28082
Usp20	0.44321	0.81593	 1.1133	0.30924	 1.3682	0.62414
Gcnt7	0.36152	 1.2084	 1.0847	0.23936	 1.4127	 1.0362
Gm5779	0.51977	0.98769	0.97218	0.34977	 1.3178	0.98203
Oip5	0.32621	0.76765	 1.1339	0.37289	 1.0198	 1.2607
Olr1	0.46983	0.78451	 1.2958	0.67032	 1.2057	 1.1627
Pp2d1	 0.76779	 0.77227	   1.594	0.041542	 0.87615	 0.83947
Arhgap15os	 0.4155	0.92877	 1.3849	0.76803	 1.6055	0.67168
Coch	0.29503	 1.0745	 1.9339	0.45694	 1.4538	 1.3884
Gdf3	0.53617	 0.4367	 1.4635	0.30539	 1.4879	  1.263
Phxr4	0.41779	0.84169	   1.56	 0.4763	 1.6018	 1.3743
Snora30	0.48837	0.85662	 1.5641	0.49222	 1.4463	0.96813
Fabp4	0.47481	0.79557	 2.0891	0.38442	 1.3891	0.84067
Ccdc73	  0.53074	  0.68799	   1.2967	-0.038519	   1.2539	   1.2062
Ugt1a6a	 0.35865	 0.34159	  1.1763	0.084149	  1.1401	  1.0949
Ghr	0.36407	0.25767	0.96072	 0.4573	  1.269	 1.7122
Rundc3b	0.36836	0.38523	 1.1731	0.29836	0.94973	 1.5001
Prr15	-0.2595	 1.5362	 1.1465	0.45035	 1.1341	0.62732
Adora2a	-0.47197	  0.5326	  1.0021	 0.09784	 0.69086	   1.368
Dgkg	-0.41707	 0.52907	  1.0194	 0.04585	  1.3247	  1.1752
Lrrc8b	-0.3475	  0.191	0.94657	0.18562	 1.1235	0.82229
Pou6f1	-0.36452	 0.22171	 0.62016	  0.7199	  1.0347	 0.96843
Abcc2	 0.73164	 0.14156	 0.35963	 0.90433	  1.0457	0.083191
Sfn	   0.9427	  0.44086	  0.30309	  0.84836	   1.0762	-0.022897
Gpnmb	 0.76076	 0.66221	0.092561	   1.078	 0.65048	0.039932
Elp4	  1.1248	 0.60547	-0.30298	 0.58098	  1.1746	 0.46875
Layn	   0.74069	   0.50648	  -0.37886	   0.66138	    1.2836	-0.0036558
Mir3473	0.86362	-0.3709	0.26669	0.70284	  1.727	0.91667
Zfp945	   0.75633	-0.0085242	   0.29219	    1.0289	    1.3983	    0.8081
Mir744	 0.63502	0.030924	  0.2279	  1.1092	  1.3499	 0.35537
Sh2d7	 0.42943	-0.27017	 0.13453	 0.99515	  1.1593	 0.25167
S100a9	 0.46492	-0.29088	-0.26826	 0.81103	  1.1144	 0.57353
Armcx5	 1.0831	0.36693	 0.1039	 0.5417	0.49008	0.82262
Pcbd1	  1.0729	 0.20225	-0.25492	 0.46388	 0.53404	  0.7506
Slc16a3	  1.1266	-0.04416	0.088472	 0.71988	 0.67508	  1.0369
Ccdc146	  1.0621	 0.28352	0.012305	 0.89409	 0.98999	 0.93752
Gm11981	 1.1089	0.43593	0.12309	0.95698	 1.0527	 1.3073
Ctsk	 1.0945	0.20748	0.41659	0.68872	 1.0081	0.97079
Krt222	  0.99672	-0.018798	 -0.16193	   1.1994	  0.46074	  0.28495
Spic	 0.95078	0.025024	-0.40647	  1.1673	 0.84874	 0.68903
Adamts14	 0.92284	 0.18635	 0.30308	-0.25192	   1.419	 0.35998
Hc	 0.99887	 0.33481	0.026129	-0.31457	  1.2426	 0.69606
Nsg1	 0.85979	 0.45981	-0.49354	-0.13496	  1.1686	 0.62138
Adhfe1	 0.81488	-0.14308	 0.15009	 0.25977	  1.1476	  0.7038
Car15	  0.6723	-0.31491	 0.21597	 0.38727	  1.4588	 0.73162
Gpr19	0.72839	0.20906	0.17864	0.15781	 1.0614	0.52407
Rtn4r	 0.74996	 0.26401	-0.16918	 0.20935	  1.0176	 0.60034
Insm1	 1.2077	0.22276	0.17178	0.24981	0.93015	0.48698
Gm10791	 1.2917	-0.5868	0.10392	0.41007	 1.2693	0.59882
P2ry2	  0.79418	 -0.67843	  0.27536	-0.078092	   1.3659	  0.27085
Nlgn2	   0.4495	 -0.24764	  -0.1393	-0.035138	    1.573	 -0.17221
Scml4	  0.84844	 -0.38691	-0.023724	  0.16495	    1.799	 -0.39068
Prokr1	 0.53293	0.039163	 0.24138	 0.50796	  1.0123	-0.55446
Ptpdc1	   1.0857	-0.057604	 0.069909	  0.20653	   1.0369	-0.071817
Gm17359	   1.392	  1.0354	-0.37389	0.048695	 0.89848	 0.82662
Rbm4	 1.5459	 1.1579	0.39285	0.32362	 1.2934	0.68168
Slc16a7	 1.4308	0.80012	0.20731	0.23735	0.95729	0.55255
Zfp212	 1.2149	0.83461	0.34554	0.16169	 1.1195	0.62661
Tmem171	  1.4072	 0.70955	0.080895	  0.1527	  1.4272	 0.65853
Afmid	  0.21129	  0.56773	-0.086673	  0.50897	   1.0198	  0.47183
Capsl	-0.042876	  0.52526	   0.1662	  0.55398	   1.0791	  0.22641
Ckmt1	0.40968	0.51651	0.19571	0.56214	 1.1656	0.50287
Grin2c	0.40669	0.62797	0.11212	0.55503	 1.2099	0.68919
Pir	0.47228	 0.5009	0.35316	0.66987	 1.0808	0.70258
Clec4e	 0.37715	  0.5361	0.033861	 0.65641	  1.0154	 0.78114
Inca1	0.61324	0.60948	0.22385	0.23914	 1.0305	0.56616
Pdzd7	0.31879	0.63966	0.22061	0.47383	 1.0327	0.30217
Slc5a10	0.38657	0.57485	0.38588	0.30902	 1.0923	0.30955
Cecr2	0.21064	0.49222	0.41366	0.16968	 1.0645	0.65219
Ldhd	0.25493	0.28547	0.50629	 0.3249	 1.0161	0.52784
Penk	 0.2943	0.34757	0.79694	0.23328	 1.0142	0.55971
Rusc1	0.18517	0.29527	0.48434	0.28601	 1.0411	0.21414
Sla2	0.045524	 0.46921	 0.35449	 0.28644	  1.2459	 0.37274
Dos	0.084657	 0.46598	 0.39917	 0.94347	  1.0027	 0.74962
Emp2	0.047311	 0.56535	  0.5288	  1.0266	  1.0799	  0.5752
Dsg2	0.46702	0.64036	 0.6719	 1.1179	 1.1084	0.40067
Dtnbp1	0.30353	0.59174	0.55864	0.94504	 1.1058	0.39915
Efcab12	0.12902	 1.1053	 0.5732	0.32848	0.89655	0.66007
Gm3086	0.18327	  1.214	0.59982	0.31383	0.89989	0.57466
Slc36a4	0.44219	 1.0059	0.80191	0.68626	0.81237	0.56159
Syce1l	  0.479	 1.0424	0.50452	0.47639	0.95261	0.47317
Gm6402	0.39054	 1.0584	0.67483	0.63913	 1.2032	 1.1025
Nol10	0.06178	 1.1644	0.47541	 0.7448	 1.0359	 0.8314
Lrp2bp	 0.5589	 1.1486	0.40414	0.55169	 1.1537	 0.1802
Siglec5	0.42362	 1.1716	0.38998	0.22371	   1.19	0.27538
Sertad4	0.86761	 1.0838	0.47583	0.51514	 1.1363	 0.4447
Zbtb7c	 0.7116	 1.2287	0.53133	 0.5931	 1.3056	0.61902
Mir680-2	0.73432	 1.1317	0.63433	 0.5909	 0.8124	0.10736
Gm15880	0.050057	  1.3861	 0.18526	 0.71545	  1.3643	 0.64096
Rnu73b	 0.28269	  1.1033	0.023806	 0.60394	  1.3548	 0.35103
B3gnt7	 0.21007	 0.93535	0.058619	0.025853	  1.0916	  0.1574
Syt3	-0.048685	  0.82144	0.0024915	 0.022679	    1.247	 0.091237
Klf16	  0.54299	  0.45275	-0.064518	-0.038048	   1.2511	 -0.17516
Bcl2	 0.11896	 0.67786	 0.67193	   0.138	  1.1787	0.085729
Efemp2	0.027833	 0.79963	 0.78573	 0.21434	  1.3647	 0.24824
Caml	 0.18546	 0.76078	  0.5627	  0.2543	  1.5688	0.075647
Bag4	   0.317	 0.66719	 0.29211	 0.30984	  1.0016	-0.27726
Tmem184a	 0.43574	 0.84246	 0.12918	 0.57636	  1.0828	0.022843
Brsk2	 0.39839	 0.95776	 0.37597	 0.80712	  1.0582	-0.30967
Insl6	 0.89889	  1.0631	 0.13161	 0.41767	  1.2914	-0.22866
Ankrd9	  0.5163	0.073264	 0.43742	 0.48788	  1.9041	 0.20951
Ypel4	 0.25597	0.063624	 0.62497	 0.75769	  1.7358	  0.1952
Ptgdr2	 0.51921	-0.14072	0.083805	 0.65758	  1.8454	-0.13863
Cmtr2	  0.30126	  0.62238	  0.16316	  0.54409	   1.6769	-0.097326
Tmeff1	0.16213	0.53845	0.22986	0.80983	 1.3942	0.22487
Wdr6	-0.2007	0.55531	0.41936	0.58774	  1.504	0.36571
Gm14137	0.49207	0.79426	0.33224	0.94417	 2.0494	0.33508
Tmem120b	0.09588	0.62833	0.39005	0.78952	 1.9001	0.27466
Plcd1	0.15101	0.22335	0.28426	0.80474	 1.8825	0.70097
Cbwd1	 0.34507	 0.22263	 0.76431	0.071692	  1.8497	 0.39455
Col10a1	  0.6424	 0.51125	 0.45346	 0.26059	  1.8893	0.045239
Zfp867	    0.8431	   0.37243	   0.53728	   0.22393	    1.6934	-0.0052106
Coprs	 0.76369	 0.62065	 0.89592	 0.34927	  1.1864	0.023787
Fam222a	  0.82056	  0.43515	  0.85666	  0.34639	   1.1425	-0.049628
Gm10390	  0.68712	  0.31941	  0.80756	  0.60407	   1.5545	0.0091865
Enpp1	0.94116	0.42856	0.92443	 0.5673	 1.6777	0.45228
Adarb1	  1.1997	 0.94462	-0.60849	 0.98286	 0.46005	  1.6524
Tjp1	  1.4366	 0.94843	-0.66644	 0.66305	 0.46548	  1.4365
Prom1	 0.86422	 0.61429	-0.24276	  1.3179	 0.57544	  1.9327
Asap2	   0.3782	   1.0834	-0.056013	  0.46945	   1.1546	   1.7725
Epas1	0.50812	 1.0028	0.38379	0.33811	 0.7452	 1.3714
Mgll	0.76711	 1.1101	0.32344	0.10071	0.55589	 1.5637
Chad	 0.62224	 0.39133	-0.42937	 0.82241	 0.58178	  1.2279
Mir325	 0.59234	 0.58684	-0.46202	 0.91471	  0.8149	   1.123
Ptprk	 0.42113	 0.61621	-0.02988	 0.72427	  1.0463	  1.2107
Tmem255a	 0.51901	 0.71255	-0.29275	 0.50517	 0.93026	  1.4403
Slc1a2	  0.19245	  0.68556	-0.095688	   1.0839	   1.0816	  0.90691
Cyb5r2	  0.68786	   1.2341	-0.055839	  0.55313	  0.83382	   1.0769
Hhat	   0.313	   1.066	-0.39367	 0.44211	  0.6405	 0.77136
Cntf	 0.56285	 0.80494	-0.43898	   1.053	 0.71553	 0.49018
Wfdc18	  0.8428	    1.17	-0.35548	  1.3481	  1.0949	 0.89266
Ace	 0.48635	-0.35558	  1.4263	-0.10016	  1.4228	 0.52484
Tenc1	  0.61938	 -0.73385	   1.3621	-0.038873	   1.2168	  0.99267
Ppp1r3fos	 0.38203	-0.35559	   1.547	 0.33239	 0.33139	 0.27075
Rem2	 0.43203	-0.77503	  1.4408	 0.37638	 0.49019	 0.79698
Tnks1bp1	  0.80196	 -0.90321	   1.5424	-0.083633	  0.70021	  0.45989
Adamts6	   1.0692	  0.34967	   1.2334	-0.056788	   1.1377	  0.83991
Gcsam	  0.93596	  0.65057	  0.96807	-0.097017	   1.3906	  0.98517
Ndnf	   1.1038	  -0.1424	   1.0352	-0.083886	   1.2039	  0.97746
Il2ra	  0.48039	-0.061703	   1.1312	 -0.22417	  0.66693	  0.99839
Unc93a	   0.48017	 -0.004043	    1.0422	-0.0019399	   0.79051	   0.93403
Map3k6	  0.67898	-0.039388	   1.0049	 0.014437	  0.98037	   0.8338
Pde7b	   0.95017	-0.0094151	    1.4146	   0.14361	   0.53212	   0.53234
Spryd7	 0.80103	-0.03517	  1.0338	-0.26124	 0.53662	 0.46514
Cyp2t4	 0.99528	-0.41321	 0.81942	 0.23967	  1.1963	 0.39768
Tesc	 0.97542	-0.49625	  1.0217	  0.4015	   1.345	 0.38424
Zpbp	  0.96527	-0.034985	  0.87908	  0.65861	   1.1703	  0.14917
Fam219aos	  0.76139	-0.036659	  0.95067	  0.56632	   1.0492	  0.59497
Prkag2os1	 0.69455	-0.15891	  1.0357	 0.45671	 0.86519	 0.54973
Fas	 0.58957	-0.34523	  1.2417	 0.29224	 0.69707	 0.53725
Gm17745	 0.75705	-0.42271	  1.2052	 0.93623	 0.96252	 0.40448
Il1rn	 0.77588	-0.40843	  1.1612	 0.63985	  0.7579	 0.83962
Maml3	 0.76679	-0.21967	    1.08	 0.72705	 0.59751	 0.61106
Scn3b	 0.67353	-0.22432	  1.2831	 0.89394	  0.7928	 0.70732
Acta2	-0.010242	-0.083633	   1.1431	  0.16161	  0.55665	  0.34468
Prkag3	 0.07821	0.039866	   1.021	 0.17185	 0.73249	 0.19793
Anks1b	  0.029943	 -0.072925	    1.0053	-0.0088248	   0.88642	   0.41747
Ccdc57	0.0098998	 0.083639	    1.338	  0.39874	  0.86529	  0.23581
Tg	-0.10972	0.038257	  1.0203	 0.39769	 0.59842	 0.55377
Tmprss2	-0.14152	 0.19297	  1.0993	 0.43203	 0.75799	 0.43359
Nek3	 -0.42796	-0.041552	   1.3568	 0.054557	  0.85693	   0.3347
Slfn10-ps	-0.023168	  0.13332	   1.3452	   0.3669	  0.85289	  0.98767
Zfp617	0.026948	 0.42439	  1.0309	 0.45539	  1.0711	 0.58055
Bpifc	0.64668	0.13938	 1.0543	 0.1694	0.86912	0.21798
Habp4	 0.32598	0.082339	   0.902	0.062472	  1.1094	 0.20098
Lhfpl5	0.31362	0.24648	 1.1187	0.33774	 1.2615	0.28672
Cd300lg	 0.39152	-0.04273	  1.2466	 0.69028	  1.2058	 0.32729
Fam149a	  0.13637	  0.28821	   1.0354	  0.50283	  0.76293	-0.072634
Zfp78	 0.50956	 0.05499	  1.0304	  0.7402	 0.87283	-0.25344
Myh15	0.099476	-0.15871	 0.92195	  0.4835	  1.4014	-0.34734
Plek2	-0.36929	-0.45478	  1.2339	  0.5824	  1.4462	-0.16901
Iqcg	  0.1635	0.098124	  1.5371	 0.39234	  1.6328	 0.92344
Tnfsf4	 0.47397	0.057449	  1.2558	 0.68047	  1.6489	  1.1774
Mcmdc2	  0.52781	-0.042482	   1.7878	  0.56236	  0.83897	  0.81611
Xk	 0.43997	-0.22887	  1.5954	 0.95194	   1.136	  1.0831
She	  1.1721	-0.20869	  1.3629	 0.72759	  1.3198	  1.6146
Samd11	 0.77642	-0.55855	  1.0659	 0.98561	  1.9997	  0.9778
Cox4i2	  0.56743	  0.37606	   2.1167	-0.019951	  0.22936	   0.1633
Pdzd9	  0.37967	  0.28744	   1.7062	-0.044761	   0.2051	  0.42903
Lhfpl4	0.66177	0.33678	 2.1602	 0.4908	0.51129	 0.5984
Zfp300	 1.0815	0.22259	 2.0364	0.39062	0.45622	0.32506
Gm8801	   1.1977	0.0014915	   1.6713	  0.11608	  0.77736	  0.07094
S100a5	  0.95378	  0.25826	   1.6593	-0.097557	  0.46243	-0.050425
Gnb5	 1.3905	0.14919	 1.5355	0.60071	 1.1348	0.71504
Podxl	 1.0065	0.51515	 1.8046	0.55736	 1.2566	0.78464
Scube3	  1.7966	0.094657	  1.9858	 0.21934	 0.97315	 0.10782
Alpl	  0.18658	  0.73891	 0.099178	  0.97724	0.0088172	   1.6063
Tshz2	 0.24273	0.085462	 0.29375	  1.0364	-0.27533	  1.4295
Atp1b1	0.50176	 0.6195	0.60012	 1.4537	0.17718	 1.6403
Ccdc74a	0.67527	0.73853	0.52068	 1.2974	-0.1429	 1.8205
Prss32	0.90651	 1.0608	0.21368	 1.1158	0.11671	 1.6833
Arhgef28	 0.42693	 0.15316	 0.50905	  1.2008	-0.21927	 0.64687
Gm10658	 1.0406	0.62291	0.90796	 1.6631	0.06457	0.90778
Gm2011	 0.85663	 0.30805	   1.007	  1.3192	0.058989	 0.94314
Sycp2	 0.98367	  0.1962	 0.82652	  1.1185	0.012732	  0.8959
Copz2	 0.40177	 0.60681	 0.93886	  1.0901	-0.20525	 0.75419
Itga11	 0.40759	 0.63032	 0.80567	 0.97912	-0.44594	  1.1417
Rgs9	 0.30312	 0.74448	  1.2811	  1.1824	0.043411	  1.2713
Slc43a1	 0.54054	 0.73622	  1.0523	  1.2646	-0.27048	   1.344
Hmgb3	0.33093	0.99152	0.45392	 1.5295	0.24488	0.44018
Pigp	 0.49142	  1.0255	 0.12766	  1.3632	-0.18543	 0.78046
Diras2	  1.3641	 0.57014	  1.1306	   1.256	-0.49153	 0.24165
Dusp9	  1.2099	  1.1359	  1.2247	  1.2307	-0.78029	  0.6419
Cav2	 0.61921	-0.31424	  2.0586	 0.99575	 0.29431	    1.17
Ptrf	0.90278	0.26579	  1.889	 1.2078	0.28255	  1.054
Cubn	 1.4722	 0.4791	 1.5114	0.96614	0.16503	 1.0448
Enpp3	 1.5697	 0.8114	 2.0336	 1.0958	0.48712	0.97529
Epha4	  1.6369	0.056697	  1.8871	 0.95222	 0.38104	  1.4749
Mir155	  1.5736	 0.11856	  0.8882	 0.89516	-0.21103	  1.5445
Samd4	  1.2502	 0.24869	  1.0868	  1.4079	-0.22839	  1.5508
Nrbp2	  0.80558	   1.1278	   1.0668	    1.307	-0.034675	   1.5331
Tpbg	    1.353	  0.81707	    1.512	   1.5152	-0.049166	   1.6745
