	CCR6-ILC3_SI_1	CCR6-ILC3_SI_2	CCR6-ILC3_SI_3	CCR6-ILC3_LI_1	CCR6-ILC3_LI_citro_2	CCR6-ILC3_LI_citro	CCR6+ILC3s_SI_1	CCR6+ILC3s_SI_2	CCR6+ILC3s_SI_3	CCR6+ILC3s_LI_1	CCR6+ILC3s_SI_Citro_2	ILC1_SI_3	ILC1_SI_4	NK_SI_3	NK_SI_4	ILC2_SI_1	ILC2_SI_2	ILC2_LI_1	ILC2_LI_2	ILC2_LI_citro_2	NKcells_LI_citro	NKcells_SI_SS
Tspan5	 0.34288	  -0.149	-0.43689	-0.52654	 0.18086	  1.0037	-0.28727	 -1.1747	-0.60971	 -0.5643	-0.94235	  1.2277	 0.13988	  1.4913	  1.4339	-0.71115	 -1.6028	-0.26109	-0.57848	 -1.2498	  1.8674	  1.4065
Lrrk1	-0.50202	 -0.3207	-0.71999	-0.63113	 0.19371	 0.86095	-0.69712	-0.66554	-0.90441	-0.89523	 -1.1708	  0.6433	 0.43955	  1.6994	  1.8273	 0.66102	-0.34662	 -1.2265	-0.80545	-0.62427	  1.7063	  1.4782
Setbp1	-0.75321	-0.42542	 -1.0936	 -1.0397	-0.22814	 0.76008	-0.97339	-0.64572	-0.83535	 -0.1282	-0.34533	  0.5336	 0.87294	  2.2812	   1.955	0.091148	 0.14848	 -1.0709	 -1.0078	 -0.3989	 0.96444	  1.3387
Mctp2	-0.24113	-0.65151	-0.91721	-0.70818	 0.14156	 0.24334	-0.65056	 -1.1115	 -1.1414	 -1.4051	   -1.25	  1.2352	 0.44921	  1.4335	  1.1952	 0.73807	 0.56081	-0.65648	-0.28177	-0.36464	   1.406	  1.9766
Ccdc64	-0.44229	-0.92136	 -1.4163	-0.40785	 0.78635	-0.48902	-0.79308	-0.38451	-0.12233	-0.30075	 -1.4163	  1.0223	  1.2174	  1.6939	  1.7584	 -0.6355	-0.87151	-0.84524	0.029079	-0.12646	  1.1058	  1.5593
Cdh1	  -1.0009	  -1.1465	  -1.8064	  0.47267	 -0.23331	-0.076028	 -0.97386	  -0.4936	 -0.82286	  0.52049	 -0.20713	   1.3543	   1.0253	   1.5851	   1.3318	  -0.6409	 -0.72884	 -0.64452	 -0.25116	 -0.18457	   1.2842	   1.6367
Nrarp	 -0.88795	   0.3314	  -1.2133	 0.092032	  0.81184	 -0.29809	  -1.3637	  -0.2344	 -0.35087	0.0089187	 -0.15321	  0.71099	   1.2459	   1.6466	   2.0621	  -1.1452	  -1.7754	 -0.68077	 -0.38075	 -0.23664	  0.79501	   1.0154
Crim1	 -0.64162	 0.021794	  0.56634	  -0.5414	  -1.3113	  0.55134	 -0.46542	 -0.61708	 -0.30956	-0.023781	  -1.2238	   1.3042	  0.78955	   1.6373	   1.3905	-0.081794	 -0.73645	  -1.5521	 -0.49982	  -1.1296	   1.7605	   1.1122
Rasl12	-0.86013	 0.18188	-0.86013	-0.86013	-0.86013	 0.63249	-0.86013	-0.86013	-0.86013	 0.43604	-0.31644	  1.4817	  0.4907	 0.86858	   1.706	 -0.1103	-0.86013	-0.86013	-0.37911	-0.86013	  2.0352	  1.5745
Fgf13	  -0.3116	  -1.0461	 -0.55068	 -0.60295	  -0.3222	  0.30931	 -0.20156	  0.16167	 -0.52073	  0.18793	 -0.49925	   1.1712	-0.065951	   1.2555	   2.4082	  -1.0461	  -1.0461	  -1.0461	 -0.36545	  -1.0461	   1.5145	   1.6624
Casp2	 -0.37636	 -0.51536	  0.32689	 -0.96973	  -0.1826	 0.052642	-0.041031	  -1.3623	 -0.97583	 -0.28709	  -1.5973	   1.1039	    1.256	   1.2368	   2.4744	 -0.16267	 -0.33078	 -0.84784	 -0.37596	 -0.55295	   1.2265	  0.90068
Max	-0.17521	 -1.0116	-0.44536	-0.34324	-0.44429	0.015365	-0.79718	-0.99617	-0.85922	-0.72582	 -1.2056	  1.1279	  1.1042	  2.3799	  1.9464	0.075238	-0.48275	-0.14791	-0.38849	-0.72569	  1.0395	  1.0599
Zcchc2	 -0.60844	 -0.67574	 0.078506	-0.023099	  0.13078	-0.035407	 -0.55835	  -1.3477	  -1.1716	 -0.89627	  -0.8619	     1.45	   1.3019	   2.2384	   1.7846	-0.068848	 -0.95735	 -0.73601	 -0.40858	 -0.25735	   1.0307	  0.59195
Pou6f1	 -0.46073	  -1.0942	 -0.60458	-0.087668	 -0.73419	 -0.13297	 -0.48999	 -0.74463	  -0.7354	 -0.60951	  -1.0798	   1.8334	   1.5424	   2.1091	   1.6738	 0.092576	  0.17186	   -1.179	 -0.16042	  -0.6552	  0.60309	  0.74217
Ptpn12	 -0.9814	-0.61669	 0.48699	-0.87082	 -1.0986	-0.15431	-0.88812	-0.93002	-0.18721	-0.81514	 -1.0058	  1.7046	 0.76219	  2.3241	  1.6407	-0.11765	-0.55197	-0.28231	0.065917	-0.37585	  0.6691	  1.2223
Ranbp9	0.076716	-0.88312	-0.32957	 -0.9962	-0.74566	 0.20561	 0.19682	-0.49491	 -0.6275	-0.42804	 -1.1102	  1.5936	 0.36928	  2.0058	  2.3381	 0.11326	 -0.9312	-0.11102	 -1.2019	-0.69979	 0.67007	 0.98992
E230016K23Rik	-0.20294	0.004175	-0.68806	-0.68806	-0.68806	0.094845	-0.29046	-0.68806	-0.68806	-0.68806	-0.68806	  2.4367	  2.0671	  1.9449	 0.97241	-0.39799	-0.68806	-0.68806	-0.68806	-0.68806	 0.22619	 0.71376
Fgd3	-0.29296	-0.21488	 0.65856	-0.72532	0.011254	-0.26857	 -0.6771	 -1.0081	 -1.1813	   -1.13	-0.79669	  2.0062	  1.9279	  1.6634	  1.3857	-0.43699	 -0.5469	 -0.9896	-0.46872	-0.18301	 0.40962	 0.85736
Vcpkmt	 -0.28583	 -0.34508	  0.13635	  -0.8427	 0.041347	-0.055603	 -0.43989	 -0.63979	 -0.70561	  -1.5955	 -0.78531	   1.5982	   1.9934	     1.52	   1.0419	-0.067428	 -0.63541	  -1.6508	 -0.48055	-0.031085	   0.9955	   1.2339
Prkch	-0.53581	0.080204	 0.63148	-0.79125	 -0.6824	-0.99084	-0.62167	-0.48838	-0.76389	-0.70957	-0.64761	  1.7029	   1.611	  1.7739	  1.7201	-0.99954	-0.52557	 -0.5321	-0.50927	-0.65965	   0.538	     1.4
Gimap5	  0.13422	 -0.49939	  0.62585	 -0.99864	 -0.32024	  0.45175	  0.41485	 -0.99143	 -0.70666	  -1.8465	  -1.8684	   1.6217	   1.3042	   1.6134	   1.1435	-0.037295	  0.27826	 -0.28539	 -0.66729	 -0.78444	  0.62386	   0.7942
Gsap	-0.18471	-0.71576	 0.37338	-0.99857	-0.29393	0.073037	-0.43918	-0.81338	-0.17217	  -1.251	 -1.2925	  1.7094	  1.1211	   2.008	  1.5661	 -0.2231	-0.24551	-0.79384	 -1.1018	 -0.4217	 0.81043	  1.2856
Fam184a	-0.57632	-0.83878	-0.83878	-0.83878	-0.83878	 0.05436	-0.46922	-0.30603	 0.17347	-0.83878	-0.83878	   1.257	  1.7783	  1.6437	    1.96	-0.56917	0.039057	-0.83878	-0.54176	-0.83878	 0.80294	   1.464
Heatr9	-0.64765	-0.87405	-0.86335	-0.78399	-0.15609	0.032559	 -0.1702	-0.63342	 0.36314	-0.89164	 -1.1692	  1.3535	 0.78989	  1.9755	  1.0301	-0.70357	 0.17751	-0.69083	-0.35286	 -1.1692	  1.5093	  1.8745
Gm12253	-0.62448	-0.62448	-0.62448	-0.62448	-0.62448	-0.27775	-0.62448	-0.62448	-0.62448	-0.62448	-0.62448	  2.3832	 0.80983	  1.2591	 0.56996	 0.27433	-0.62448	-0.62448	-0.62448	-0.62448	  1.5397	  2.1844
Jade2	0.036281	-0.78769	-0.69203	 -1.0497	-0.56708	  0.4622	 0.83883	-0.57602	 -1.2304	-0.40628	 -1.0922	  1.3939	  1.4233	  1.8463	  1.1106	 0.52651	 -1.1188	 -1.2722	-0.28831	-0.62014	  1.0056	  1.0573
Zyg11b	  0.15305	-0.076135	 -0.66397	  -1.6957	   -1.501	 -0.17532	 -0.11147	  -0.3518	 -0.95291	 -0.94004	 -0.28741	   1.1941	   1.2236	   1.4449	   1.5097	  0.65843	 -0.52381	 -0.78161	 0.014422	 -0.46604	  0.20996	    2.119
Rasgef1a	-0.31047	-0.50522	   0.428	-0.76494	-0.12104	-0.16001	 -1.2664	-0.46011	 0.87155	-0.55016	 -1.2664	 0.49287	   1.559	  1.9873	   1.051	-0.56662	 -1.2664	-0.64222	 0.13964	 -1.2664	 0.95803	   1.659
Slc26a10	 -0.46788	 -0.80552	-0.097304	 -0.41067	  0.25692	  0.22065	 -0.33791	   -1.201	  0.25236	  -1.0009	  -2.1922	   1.4645	   1.2412	   1.6345	  0.62507	 -0.15501	  -1.0417	 -0.58987	   0.4293	 -0.49928	   1.6504	   1.0243
AW112010	  0.34877	   0.7087	  0.23331	 -0.26342	  0.58349	-0.094975	  -1.0745	 -0.73569	  -1.0519	  -1.5492	 -0.69977	  0.79579	  0.64289	   1.9098	   2.1308	 -0.31229	  -0.3185	  -1.0209	  -1.3546	 -0.61919	  0.89155	  0.84982
Gimap6	-0.25227	 0.13859	 0.38159	-0.28638	-0.13332	-0.30631	-0.84321	-0.97701	 -1.1664	 -1.8346	 -1.7553	  1.5476	  1.3974	   1.513	  1.4972	-0.03873	 0.45489	-0.16911	-0.68733	-0.18621	 0.97055	 0.73521
Gimap9	 -0.16735	-0.063932	  0.54534	-0.077746	  0.01528	 0.013689	 -0.76906	  -1.1061	  -1.4532	  -1.8159	  -1.3247	   1.4178	   1.5094	    1.469	  0.94698	 -0.14362	  0.59072	 -0.47783	 -0.98539	 -0.34787	   1.4101	  0.81447
Prf1	 -0.24056	 -0.13249	 0.081624	  -0.5145	  0.45638	 -0.10303	 -0.93099	 -0.67843	  -1.4704	  -1.6594	 -0.83241	   1.4228	   1.1719	   1.8429	   1.5496	 -0.11932	0.0060236	 -0.64669	 -0.91473	 -0.60049	   1.1751	   1.1371
Sept6	-0.032115	  0.78941	  0.51732	 -0.48007	 -0.38129	 -0.67904	  -1.1469	 -0.68423	  -1.2222	  -2.1522	  -1.6645	    0.751	  0.97652	   1.0929	   1.7351	 0.066793	  0.87002	 0.055359	 -0.35565	0.0068282	  0.74292	    1.194
Gimap4	 0.77383	  0.6041	 0.28004	 0.23488	 0.18661	 0.36549	-0.60557	 -0.8442	 -1.4026	 -1.5582	 -1.5445	  1.1628	  1.1041	  1.0562	  1.1162	-0.13367	-0.38244	 -1.0704	 -1.0167	 -1.0014	  1.2486	  1.4269
Lck	 0.63885	 0.30339	 0.11331	-0.37175	 0.17227	-0.12994	-0.48664	 -1.0444	 -1.4334	 -1.2726	 -1.7702	  1.1924	  1.0271	  1.1761	  1.2658	-0.22441	-0.65734	-0.80921	-0.28378	-0.60334	  1.5268	  1.6709
Tatdn2	 0.24404	0.053843	 0.15899	  0.2805	 0.40729	 0.64762	-0.87467	 -0.7267	 -1.6137	 -1.1439	 -1.5889	  1.1313	  1.0745	 0.75816	 0.98918	-0.41064	-0.82474	-0.82129	-0.20726	-0.99041	  1.7903	  1.6666
Selplg	   0.43682	   0.49077	   0.60579	-0.0062379	   0.45917	   0.02064	  -0.99939	   -1.4033	   -1.7098	   -1.2482	   -1.4971	    1.5009	    1.3749	    1.4768	    1.1524	  -0.11735	   -0.3842	  -0.57947	  -0.22184	  -0.92628	   0.82665	   0.74823
Zscan2	 -0.10622	  0.13771	  0.75372	  0.20929	 0.031716	-0.094455	 -0.88316	 -0.53484	  -1.4212	 -0.46151	  -1.5491	   2.1171	  0.65181	   1.1218	  0.69357	  -1.1291	 -0.47492	 -0.85355	 -0.46535	 -0.80902	   1.2141	   1.8516
Gm12250	   0.58285	  -0.14527	   0.83383	-0.0082136	   -0.4794	  -0.24527	  -0.48615	   -1.1001	   -1.3114	   -1.0234	      -1.1	    1.4138	   0.85832	    1.3589	     1.327	   0.72771	   0.28972	    -1.688	   -1.4302	  -0.41687	   0.77643	    1.2657
Marveld2	 0.61928	0.019654	 0.68044	 0.18592	 0.23425	 -0.3754	0.022122	 -1.1354	 -1.5157	-0.97742	 -1.3596	   1.223	  1.4868	  1.2712	  1.7029	 -0.3258	0.036396	 -1.3375	 -1.2755	-0.74686	 0.76167	 0.80539
Sla2	  0.40684	0.0074002	  0.17561	  0.30287	 0.005267	-0.064199	 -0.49471	  -1.2438	  -1.5864	 -0.84294	 -0.94346	   1.3431	   1.5424	   1.6344	   1.9423	 -0.19806	 -0.60536	   -1.129	 -0.81185	  -0.8644	  0.52303	  0.90096
Me2	-0.053753	  0.13352	  0.37706	 -0.13337	 -0.63631	  0.22136	  -0.9662	  -1.7578	  -1.6645	 -0.97807	 -0.59774	   1.4179	   1.5289	   1.1539	   1.6705	  0.22998	 -0.51011	  -0.9279	 -0.20531	 -0.45784	  0.94029	   1.2155
Armc7	 -0.32702	-0.093918	  0.28421	 -0.11614	  0.27523	 -0.12961	 -0.87936	 -0.53366	  -0.5014	 -0.83337	  -0.1797	   1.7139	   1.0906	   1.2086	    1.313	  -1.1118	 -0.92988	 -0.90309	 -0.49251	  -1.8906	   1.4635	    1.573
Klrb1c	 -0.22191	  0.23387	  0.46366	 0.026818	  0.18173	-0.080905	 -0.85109	 -0.61133	 -0.87213	 -0.41208	 -0.25245	   1.3378	   1.2618	   1.2225	   1.2782	  -1.0014	  -1.3827	  -1.2598	  -1.2211	  -1.0099	   1.5826	   1.5878
Klrc2	-0.40379	-0.35149	 0.25366	-0.48818	 0.48789	 0.56032	-0.85237	-0.79858	-0.53717	-0.66467	-0.25037	  1.5105	  1.2427	  1.2024	  1.2408	 -1.1452	 -1.1452	 -1.1452	 -1.1452	-0.75394	  1.5249	  1.6583
Ccl3	-0.038653	 0.077245	  0.44736	 -0.35135	   0.2229	  0.14152	 -0.86851	 -0.46816	 -0.83704	  -1.3027	 -0.60202	   1.6866	   1.1643	    1.635	   1.2131	 -0.66219	 -0.67273	  -1.0248	  -1.3027	  -1.1339	    1.254	   1.4227
Ccl4	 -0.4077	0.063865	   0.548	-0.20915	-0.20821	-0.37598	-0.83853	 -0.8153	-0.74743	-0.96372	-0.61458	  1.8036	  1.4728	  1.6955	   1.503	-0.70971	-0.66096	-0.96372	-0.96372	-0.96372	  1.1042	  1.2514
Il12rb2	 -0.40326	 -0.34886	  0.32556	-0.019365	  0.14522	  0.10867	 -0.79278	 -0.79636	 -0.50093	  -1.0406	  -0.8335	   1.7565	   1.5973	   1.6395	   1.5699	 -0.96357	 -0.93745	  -1.0383	 -0.54499	  -1.0328	  0.95303	   1.1571
Fasl	 -0.18721	 0.014499	  0.27939	-0.089833	  0.26631	  0.12388	  -1.0923	 -0.80477	 -0.48874	  -1.3963	  -1.2196	   1.4877	   1.5284	   1.4074	    1.439	   -0.623	 -0.76765	 -0.94219	  -0.7966	 -0.79819	   1.3122	   1.3476
Sulf2	-0.24745	0.054516	0.006482	 0.14607	 0.73172	 0.56264	 -1.0351	-0.91486	-0.79816	 -1.0011	 -1.2403	  1.3754	   1.267	  1.2503	  1.2915	-0.82148	 -1.0639	-0.52516	  -1.064	-0.88687	  1.5053	  1.4074
Klrc3	-0.29879	 -0.5795	 0.15245	-0.49101	0.099279	 0.46312	-0.86954	-0.56212	-0.86954	-0.86954	-0.86954	  1.4172	   1.198	  1.5837	 0.94378	-0.86954	-0.86954	-0.86954	-0.57602	-0.86954	  1.6534	  1.9529
Klri1	 -0.12162	-0.042318	  0.65219	 0.080839	 0.058681	  0.10703	  -1.1037	 -0.74174	 -0.52091	 -0.87529	  -1.1037	   1.6881	   1.5593	  0.86346	  0.87258	  -1.1037	 -0.72798	  -1.1037	 -0.85791	 -0.81268	   1.3554	   1.8776
Arrdc3	-0.52523	-0.47281	 0.73574	0.068248	  0.3167	 0.15122	 -1.0794	 -1.0854	 0.29407	-0.51291	-0.62279	  1.9521	  1.4432	  1.0457	 0.91747	-0.84911	 -1.1457	 -1.1491	-0.75597	 -1.2659	 0.98009	  1.5599
Gpr55	 -0.64516	-0.087117	  0.40584	 -0.39094	  0.18208	  0.09225	 -0.79141	  -1.0663	 -0.21039	  -1.0173	 -0.88502	   2.2404	   1.8176	   1.3617	   1.2037	  -0.4362	 -0.71704	  -0.9204	 -0.84101	 -0.99063	  0.46826	   1.2271
Crot	0.015862	 -0.3525	 0.56304	 -0.3257	-0.34943	 -0.2152	 -1.0551	-0.92244	-0.44495	  -1.097	-0.52613	  2.2202	  1.9686	  1.0665	  1.3026	  -1.195	-0.57154	-0.65722	-0.96939	-0.32388	 0.82039	  1.0483
Ccr5	-0.83194	-0.36223	  0.2979	 0.08955	 0.58295	 0.34314	 -1.4718	-0.68202	-0.86942	 -1.1341	-0.67964	  1.6112	  1.3437	  1.6148	  1.5938	  -1.181	-0.65454	-0.64503	-0.61542	-0.42024	   1.032	  1.0383
Irg1	 -0.6657	-0.47082	 0.11374	0.096146	 0.73344	-0.14268	 -1.2975	-0.93393	-0.93229	 -1.4642	-0.51769	  1.9151	  1.8882	    1.49	  1.2637	-0.43918	-0.17558	-0.61275	-0.51772	-0.86018	 0.55236	 0.97762
Btbd11	 0.15083	 0.34461	  0.6326	-0.23144	 0.29574	0.016518	-0.36616	-0.50422	-0.12536	-0.45204	-0.65266	  1.4913	  1.6607	  1.1458	  1.0854	 -0.7173	-0.72808	 -1.7526	  -1.784	 -1.5545	 0.98085	  1.0641
Ptpn22	 0.022274	  0.46048	  0.88105	  0.11347	-0.089371	 -0.14872	 -0.34305	 -0.29949	 -0.23203	 -0.49862	 -0.61095	   1.6151	   1.3533	   1.2769	   1.2247	 -0.85174	 -0.54347	  -1.9089	  -1.6497	  -1.5304	  0.53377	   1.2254
Cd200r2	 0.40146	0.080433	 0.99133	-0.31767	 0.17043	0.028397	-0.45375	-0.26566	-0.91442	-0.89806	-0.78966	  1.4021	  1.5633	  1.3785	  1.1406	-0.85431	-0.64509	 -1.4944	 -1.4858	   -1.24	  1.1894	   1.013
Gzmb	  0.1407	 0.14279	 0.64749	  0.4421	 0.38077	 0.18788	-0.74484	-0.71755	0.018598	 -1.0628	-0.92888	  1.2711	  1.2162	   1.467	  1.4627	-0.94169	-0.85345	 -1.6505	 -1.3064	 -1.2171	 0.80404	  1.2419
Cdk14	 0.82794	   1.011	  1.0162	 0.84662	 0.47878	 0.77247	 -0.9603	-0.63047	 -1.4083	-0.51403	-0.65345	  1.2296	  1.2266	 0.27814	 0.34916	  -1.148	-0.99913	 -1.3906	-0.91446	 -1.4885	 0.86032	  1.2104
Ncr1	 0.63925	  0.7934	 0.85985	 0.48189	 0.59567	 0.47188	-0.77386	-0.70206	-0.58171	-0.58389	-0.30581	  1.0576	 0.82928	 0.86044	 0.81557	 -1.0948	 -1.3541	 -1.6487	 -1.6054	  -1.315	  1.3072	  1.2533
Ctsw	 0.68995	 0.45205	 0.55009	 0.41565	 0.55973	 0.38434	-0.91025	 -1.1665	 -1.4656	-0.96187	 -0.4877	  1.1363	  1.1651	  1.1273	  1.0748	-0.37366	-0.80965	 -1.3856	 -1.1916	 -1.2727	  1.1926	  1.2772
Slc28a2	  0.8271	 0.55298	 0.39924	 0.32497	0.088044	 0.55419	-0.72794	-0.83241	 -1.2223	-0.85734	-0.49347	  1.2276	  1.2645	 0.78441	 0.96331	-0.74109	 -1.0725	 -1.0514	 -1.3628	  -1.499	  1.2843	  1.5896
Slamf7	0.087898	 0.47861	 0.51632	 0.40996	 0.49297	  0.6421	 -1.1163	-0.57324	-0.48137	 -1.1487	 -1.0034	  1.3326	  1.1696	  1.0042	  1.0298	  -1.018	-0.43161	 -1.1781	 -1.1806	 -1.6737	  1.1877	  1.4532
Tbx21	 0.20717	 0.25199	 0.17484	 0.37263	 0.85648	  0.6998	-0.87407	-0.79377	-0.95609	-0.93898	-0.74086	   1.343	  1.3705	 0.99245	  1.0325	-0.74265	-0.43304	 -1.3788	 -1.3291	 -1.5913	  1.3425	  1.1348
Ifng	 0.31935	 0.23261	 0.24085	 0.12007	  1.0138	 0.87292	  -1.001	-0.85544	 -1.4485	  -1.109	-0.68714	  1.3475	 0.91311	  1.2228	  1.0002	-0.56637	-0.97313	 -1.2747	-0.94719	 -1.0213	  1.5106	    1.09
Klrc1	-0.13759	  0.2356	 0.61416	 0.48882	  0.7051	 0.58172	-0.92963	-0.97009	-0.57956	-0.75563	-0.36168	  1.3438	  1.2052	  1.0453	  1.1288	 -1.2224	 -1.4987	  -1.323	 -1.2819	-0.81491	  1.3522	  1.1744
Xcl1	-0.083629	  0.20979	  0.37551	  0.13397	  0.90984	  0.70874	  -1.0304	 -0.76022	 -0.80698	   -1.274	 -0.28611	   1.3161	   1.0565	   1.2647	   1.0328	  -1.0528	   -1.314	 -0.98021	  -1.2562	 -0.89259	   1.5313	   1.1977
Lmtk3	-0.19344	-0.35377	  0.7755	0.011729	-0.42721	 0.78015	-0.41926	-0.97167	-0.97167	-0.97167	 -0.2649	  1.5246	  2.6653	 0.20871	   1.287	-0.40405	-0.97167	-0.97167	-0.97167	-0.97167	 0.81735	 0.79405
Trat1	  0.18889	-0.084043	  0.89213	  0.19558	 0.028238	 0.064807	 -0.18481	 -0.23706	  -0.5212	  -1.0884	  -1.0884	   2.1346	   1.7218	 -0.23686	  0.95902	  -1.0884	 -0.68421	  -1.0884	  -1.0884	  -1.0884	  0.42159	   1.8721
Cd200r4	 0.69485	 0.84931	  1.3037	 0.07487	-0.20597	 0.15015	-0.69908	 -1.0455	-0.78671	  -1.711	 -1.9395	  1.5276	  1.3968	 0.85697	 0.94077	-0.99622	-0.36175	-0.35619	-0.75433	-0.46983	 0.86567	 0.66536
Irf7	  1.1114	 0.88274	  1.3424	 0.54479	 0.85072	0.055002	-0.76994	-0.86765	 -1.4905	 -1.0996	 -1.4385	 0.95022	  1.4504	 0.61322	 0.39314	-0.29775	-0.49681	 -1.2118	-0.97254	 -1.2438	 0.69842	 0.99637
Fryl	   0.3499	  0.48438	   1.2395	 -0.43968	 -0.49716	 -0.22021	 -0.73514	 -0.65019	 -0.30726	 -0.93473	  -1.2398	    1.722	   1.6296	   1.3777	  0.97864	-0.033591	 -0.40223	  -1.3718	  -1.0081	  -1.4005	  0.18803	   1.2707
Pik3r1	  0.24401	  0.71353	   1.6744	 -0.23511	   -0.593	 -0.47875	  -1.0564	 -0.86326	0.0030793	  -1.1326	  -1.5313	   1.7759	   1.3695	   1.2912	   1.1782	 -0.20392	 -0.31715	 -0.99528	 -0.74561	  -1.0293	  0.12238	   0.8093
Irgm2	 0.12858	0.055388	  1.5355	 0.39123	 0.31182	-0.36429	 -0.4533	 -1.2122	-0.25102	 -1.0568	 -1.3895	  1.5609	  1.7579	  1.1402	  1.0992	-0.24467	-0.31154	 -1.6765	 -1.3595	-0.43981	 0.15753	  0.6209
Igtp	  0.9424	 0.56118	  1.8394	 0.77584	 0.65304	 0.13185	-0.38648	-0.80352	 -0.3012	 -1.2438	-0.99702	  1.3114	  1.1632	 0.35518	 0.42405	 -0.0365	0.055638	 -2.1823	 -1.8404	 -0.6007	-0.03612	 0.21491
Cd160	 0.83289	 0.37882	-0.40573	0.022497	 0.24286	 0.33656	 0.11119	-0.66526	 -1.2068	-0.90396	-0.56422	 0.46142	 0.57622	 0.42152	 0.44911	 0.48722	 0.17003	 -1.6196	 -1.2779	 -1.8174	  1.7152	  2.2554
Pde4a	  0.88407	  -0.0811	  0.65158	 -0.41301	-0.079953	-0.023159	  0.57515	 -0.55709	 -0.74253	 -0.34695	   -1.082	   1.6756	  0.93844	   1.7151	  0.90588	-0.056735	 -0.78541	  -1.5018	  -1.0705	  -2.1222	  0.77698	  0.73949
Soat2	 0.48416	 0.18976	  0.3433	-0.56287	0.017334	 0.31958	-0.20643	  -1.128	 -0.4256	 -1.0196	-0.94546	  1.2606	 0.84654	  1.2512	  1.0554	 0.67345	-0.16132	 -0.8172	 -1.3853	 -2.2892	 0.83349	  1.6662
Pim2	  0.37724	  0.35201	-0.021845	 -0.15882	  0.69523	  0.51831	 -0.62473	 -0.75779	 -0.76118	 -0.75092	 -0.81767	   1.2569	   1.2757	    1.105	  0.91856	  0.11927	-0.067797	  -1.5548	  -1.5487	  -2.0037	   1.3949	   1.0549
Ttc7b	 0.63207	 0.28388	-0.34361	-0.87721	 0.88699	 0.53503	-0.14668	 -1.0317	-0.48768	-0.52558	-0.17435	  1.0871	 0.90692	  1.3905	 0.75054	-0.62093	 0.14706	 -2.0304	 -1.4261	 -1.5652	  1.3769	  1.2324
Arsb	 0.30944	0.039268	-0.35788	 0.17089	 0.13727	 0.29319	-0.19001	-0.70477	-0.71979	-0.30075	 -1.1293	 0.76851	 0.61232	  2.0867	  1.8461	-0.94768	-0.96487	 -1.3392	-0.85588	 -1.3067	  1.5718	 0.98115
Crtam	 0.19747	-0.19481	 0.27565	-0.14396	 0.37034	 0.43834	 0.44705	-0.34697	-0.40178	-0.86372	 -1.0688	  0.7072	 0.46179	  2.0532	  1.4779	-0.95837	  -1.296	 -1.2819	-0.89772	 -1.5885	  1.4251	  1.1885
Pglyrp1	  0.14543	-0.095976	 -0.29336	  0.35159	  0.74916	  0.60418	 -0.32334	 -0.56689	 -0.90108	 -0.41709	  -1.7105	   1.1913	  0.99773	    1.512	   1.4005	  -0.6285	  -1.2855	   -1.388	  -1.1985	 -0.60261	   1.3637	   1.0956
Slc26a11	  0.20176	-0.072839	-0.047383	 -0.05653	 0.052086	  0.52631	  0.15175	 -0.27542	 -0.16661	  0.15517	  -1.0859	   1.0885	 -0.07899	   1.6165	   1.7718	  -1.0406	  -2.2719	 -0.91922	  -1.1479	 -0.90149	   1.4068	   1.0939
Sh2d1b1	   0.64684	   0.43578	   0.38761	  -0.12999	   0.41687	   0.86422	0.00073188	  -0.31492	   0.11606	   -0.7256	  -0.61285	   0.67455	  -0.12254	    1.2226	    1.2284	   -1.1777	   -0.9164	   -1.6524	   -1.6524	   -1.6524	    1.5343	    1.4293
Epsti1	  0.25857	  0.33522	 -0.54959	 -0.39395	-0.017433	 -0.18534	 -0.22661	 -0.13326	 -0.70084	   -1.349	  -1.0791	    1.137	  0.60241	    1.375	   1.2478	 -0.55157	 -0.96812	 -0.69911	  -1.2384	 -0.79884	   1.8328	   2.1024
Smad7	   0.8655	  0.64968	  0.15672	-0.036574	  0.73367	 -0.59498	 -0.23634	 -0.44538	   -1.004	 -0.74376	  -1.3096	   1.2458	   1.0846	   1.1597	  0.67234	  -1.3044	  -1.3553	 -0.98018	 -0.65604	  -1.0168	    1.418	   1.6973
Mmd	   0.72733	   0.52961	    0.1168	  -0.56477	   0.11668	   0.28897	   0.38167	-0.0080938	  -0.22953	    -1.943	   -1.6397	   0.76174	   0.19588	    1.7099	     1.232	  -0.57447	 -0.068458	   -1.6321	  -0.96009	  -0.96358	    1.2043	    1.3189
Efcab4b	 0.42203	  -1.134	-0.36519	-0.24887	 0.51801	 0.86387	 -0.3476	-0.41474	-0.62386	-0.19326	-0.73206	 0.99243	 0.83241	   1.784	-0.25648	-0.70616	  -1.612	 -1.1211	-0.47217	-0.86321	  1.6688	  2.0093
Slc14a1	  -0.06041	   0.20701	  -0.29764	   0.62307	7.4877e-05	   0.39201	  -0.75719	  -0.62471	    -0.827	  -0.17511	   -1.1349	    1.3239	  -0.15213	    1.5482	   0.42382	  -0.26924	  -0.68982	   -1.6345	   -1.1927	  -0.66368	    2.1765	    1.7845
Spin2c	 0.16141	 -0.1449	 0.68046	 0.79156	  1.2751	  0.3562	-0.63749	 -1.3257	-0.89758	-0.38122	 -1.3257	  1.3171	 0.51634	  1.1364	-0.09441	-0.96781	 -1.3257	 -0.8762	-0.64986	-0.85888	  1.7498	   1.501
